DocumentSource,SlideNumber,Content
OCEANOL_Sales Deck_June2025.pdf,14,"FORMULA OCEAN MIST

Citrus

Herbal

Fresh

Floral

Fruity

Dihydro Myrcenol

Lemon Heart LMR
Cypress Oil

Eucalyptol

Rosemary Oil North Africa LMR
Calone

Oceanol

Benzyl Acetate

Benzyl Benzoate

Floral Super

Floralozone

Methyl Dihydro Jasmonate
Phenyl Ethyl Alcohol
Aldehyde C-18

Allyl Amyl Glycolate
Undecalactone Gamma

Veltol Plus

IFF
IFF

IFF

IFF

IFF

IFF
IFF

IFF

*formula continues over next column

CANDLE 8%

(-)
150.00
5.00
3.00
15.00
1.00
2.50

40.00
213.00
1.00
10.00
200.00
75.00
30.00
10.00
12.50
2.50

(+)

2.00

Balsamic
Musk
Amber

Woody

Powdery/sweet

Tobacco/hay

Salicynalva
Sinfonide™
Amber Xtreme™
Bacdanol®

lonone Beta Extra
Iso E Super®
Ethyl Vanillin

Coumarin

IFF
IFF
IFF
IFF

IFF

TOTAL:

(-)
5.00
5.00
2.50

25.00
15.00
150.00
10.00
15.00

(+)

1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,1,"Confidential
Confidential"
TROPICALIA_Sales Deck_Mar2025.pdf,2,"Confidential
Confidential"
TROPICALIA_Sales Deck_Mar2025.pdf,3,"PERFUMERS'’
QUOTES

“Tropicalia is an ultra-high impact ingredient with great diffusion. It evokes a memory of tropical
environment, particularly the juicy tropical fruits. It has facets of a hint of a mint & white flower, quite

unique in olfaction.”

""Tropicalia is a unique, outspoken ingredient that will push the performance and bring

a new dimension to your creations.""

“Tropicalia is a fruity cocktail that can be used in floral-fruity compositions. It has a well-balanced blend
of tropical mango, peach, and guava notes with a touch of apple sweetness. It has the power to

enhance fruity and citrus notes.”

4"
TROPICALIA_Sales Deck_Mar2025.pdf,4,"TROPICALIA™

ethyl (1R,2R,4R)-bicyclo[2.2.1]hept-5-ene-2-carboxylate
IPC NUMBER 050206

FRUITY
Fruity, Floral, Green

NOTE IMPACT

TOP WE High
HEART Wi High
BASE Hi Medium

OLFACTORY DESCRIPTION

O
o~

Oe

Vegan
Suitable

A very impactful fruity/ tropical/ exotic note giving richness/ opulence to any white flower accord

with a touch of green minty leaves.

CHEMICAL FORMULA CAS NUMBER ALLERGEN
CipH1402 10138-32-6 No allergens
VISUAL DESCRIPTION GC SUMMARY FLASH POINT

>83°C

Clear, colorless liquid
SUBSTANTIVITY

>24 hours

Sum of isomers +98%
ECOTOX

H412

TYPICAL USE LEVEL

Traces to 0.2%

LOG P
2.81
MOLECULAR WEIGHT

166.0993

PRODUCT

Fine Fragrance
Shampoo

Soap

Liquid Detergent
Powder Detergent
Fabric Conditioner
All Purpose Cleaner
Candle

Bleach

PERFORMANCE
Good

Good

Excellent

Good

Moderate

Very Good

Good

Good

Poor

STABILITY

Good
Good
Very Good
Good
Moderate
Good
Good
Good

Poor"
TROPICALIA_Sales Deck_Mar2025.pdf,5,"STRAWBERRY
BLOSSOM

Created by Elise Pajot,
Perfumer

Application
Fabric Conditioner 1%

TROPICALIA

OLFACTIVE

DESCRIPTION

A comforting strawberry note
intertwined with a luxurious floral
core, elegantly complemented by
cedarwood and a touch of vanilla.

ale, Pineapple

Lily of the valley,
White flowers, Orange flower

Vanilla, Peach, Cedarwood

BASE"
TROPICALIA_Sales Deck_Mar2025.pdf,6,"FORMULA STRAWBERRY

Herbal

Green

Floral

Fruity

Tetrahydro Linalool

Hexenol, Cis-3

Triplal

Undecavertol

Verdural B Extra

Benzyl Acetate

Cyclamal

Dupical

Hexyl Cinnamic Aldehyde
Methyl Dihydro Jasmonate
Rhubafuran 10%

Yara Yara

Ylanganate IF F
Allyl Heptanoate

Decalactone Gamma

Methyl Anthranilate

Raspberry Ketone

Tropicalia 10% IFF

Veltol Plus

BLOSSOM

(-)
130.00
4.00
13.00
32.00
6.00
80.00
35.00
2.50
135.00
160.00
3.50
15.00
2.50
13.00
45.00
6.50
4.00

3.00

*formula continues over next column

(+2.5)

2.50

FABRIC CONDITIONER 1%

(+5)

5.00

Minty

Balsamic

Woody

Powdery/sweet

Tobacco/hay

Methyl Salicylate
Hexyl Salicylate
Methyl Cinnamate
lonone Alpha

Iso E Super®
Ethyl Vanillin

Aubepine

IFF

(-)
2.00
130.00
13.00
10.00
125.00
13.00
17.00

1,000.00

(+2.5) (+5)

122.50 120.00

1,000.00 1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,7,"CRANBERRY

& HIBISCUS
Created by Elise Pajot,
Perfumer
Application
All Purpose Cleaner 0.3%
TROPICALIA ra
DESCRIPTION Ye Reranges PP
_ . TOP
The fragrance opens up on juicy cranberries
invigorated by fresh citruses and bright
blackcurrant and moves into a soft floral Pink roses, Jasmine,
heart of pink roses, jasmine and powdery Violet

violet, wrapped up by Whites musks and
balsamic undertones.

White musk, Sandalwood,

BASE Balsamic"
TROPICALIA_Sales Deck_Mar2025.pdf,8,"FORMULA CRANBERRY & HIBISCUS

Citrus

Herbal

Green

Floral

Bergamal

Lemonile

Mangone 0.1%
Orange Oil CP Spain LMR 10%
Herbavert

Hexenyl Acetate, Cis-3
Vertoliff

Benzyl Acetate
Citronellol 950
Delphone

Floralozone

Rose Oxide

Styralyl Acetate

*formula continues over next column

IFF

IFF

IFF

IFF

IFF

30.00
30.00
6.00
80.00
5.00
7.00
50.00
80.00
80.00
8.00
14.00
2.00
40.00

(+)

Fruity

Balsamic

Musk

Woody

Tobacco/hay

Animalic

ALL PURPOSE CLEANER 0.3%

Cassiffix®

Cassis Base
Decalactone Gamma
Delta Damascone
Dimethyl Benzyl Carbinyl Acetate
Fragarone 10%
Manzanate

Nectarate™

Tropicalia

Verdox™

Hexyl Salicylate
Ambrettolide

Bacdanol®

Methyl lonone Gamma A
Aubepine

Indole 10%

IFF

IFF

IFF

IFF

IFF

IFF
IFF

10.00
20.00
30.00
10.00
20.00
16.00
20.00
100.00
195.00
80.00
3.00
8.00
44.00
10.00
2.00

1,000.00

(+)

2.00
193.00

1,000.00"
TROPICALIA_Sales Deck_Mar2025.pdf,9,Confidential
